src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec
127.0.0.1,127.0.0.53,44964,53,UDP,0.00,194,2,194.0
192.168.18.20,192.168.18.1,51135,53,UDP,0.00,97,1,97.0
192.168.18.20,192.168.18.1,37733,53,UDP,0.00,97,1,97.0
192.168.18.1,192.168.18.20,53,51135,UDP,0.00,113,1,113.0
127.0.0.53,127.0.0.1,53,44964,UDP,0.00,238,2,238.0
192.168.18.1,192.168.18.20,53,37733,UDP,0.00,125,1,125.0
127.0.0.1,127.0.0.53,50484,53,UDP,0.00,188,2,188.0
192.168.18.20,192.168.18.1,43206,53,UDP,0.00,94,1,94.0
192.168.18.20,192.168.18.1,60717,53,UDP,0.00,94,1,94.0
192.168.18.1,192.168.18.20,53,43206,UDP,0.00,110,1,110.0
127.0.0.53,127.0.0.1,53,50484,UDP,0.01,232,2,232.0
192.168.18.1,192.168.18.20,53,60717,UDP,0.00,122,1,122.0
127.0.0.1,127.0.0.53,54626,53,UDP,0.00,208,2,208.0
192.168.18.20,192.168.18.1,58396,53,UDP,0.00,104,1,104.0
192.168.18.20,192.168.18.1,54318,53,UDP,0.00,104,1,104.0
192.168.18.1,192.168.18.20,53,54318,UDP,0.00,132,1,132.0
127.0.0.53,127.0.0.1,53,54626,UDP,0.00,252,2,252.0
192.168.18.1,192.168.18.20,53,58396,UDP,0.00,120,1,120.0
127.0.0.1,127.0.0.53,39717,53,UDP,0.00,182,2,182.0
127.0.0.53,127.0.0.1,53,39717,UDP,0.00,226,2,226.0
127.0.0.1,127.0.0.53,51891,53,UDP,0.00,220,2,220.0
192.168.18.20,192.168.18.1,35797,53,UDP,0.00,110,1,110.0
192.168.18.20,192.168.18.1,46159,53,UDP,0.00,110,1,110.0
192.168.18.1,192.168.18.20,53,35797,UDP,0.00,156,1,156.0
127.0.0.53,127.0.0.1,53,51891,UDP,0.00,324,2,324.0
192.168.18.1,192.168.18.20,53,46159,UDP,0.00,168,1,168.0
127.0.0.1,127.0.0.53,34218,53,UDP,0.00,184,2,184.0
192.168.18.20,192.168.18.1,57078,53,UDP,0.00,92,1,92.0
192.168.18.20,192.168.18.1,33761,53,UDP,0.00,92,1,92.0
192.168.18.20,173.194.57.106,51096,443,TCP,1.10,4293,12,3912.18
192.168.18.20,173.194.57.106,51112,443,TCP,1.15,4309,12,3733.92
192.168.18.1,192.168.18.20,53,33761,UDP,0.00,148,1,148.0
127.0.0.53,127.0.0.1,53,34218,UDP,0.00,272,2,272.0
192.168.18.1,192.168.18.20,53,57078,UDP,0.00,124,1,124.0
173.194.57.106,192.168.18.20,443,51096,TCP,1.10,6756,13,6145.34
173.194.57.106,192.168.18.20,443,51112,TCP,1.16,6743,13,5819.15
127.0.0.1,127.0.0.53,47355,53,UDP,0.00,188,2,188.0
192.168.18.20,192.168.18.1,51709,53,UDP,0.00,94,1,94.0
192.168.18.20,192.168.18.1,46022,53,UDP,0.00,94,1,94.0
192.168.18.1,192.168.18.20,53,51709,UDP,0.00,110,1,110.0
127.0.0.53,127.0.0.1,53,47355,UDP,0.00,232,2,232.0
192.168.18.1,192.168.18.20,53,46022,UDP,0.00,122,1,122.0
127.0.0.1,127.0.0.53,46410,53,UDP,0.00,180,2,180.0
192.168.18.20,192.168.18.1,41179,53,UDP,0.00,90,1,90.0
192.168.18.20,192.168.18.1,46226,53,UDP,0.00,90,1,90.0
192.168.18.1,192.168.18.20,53,41179,UDP,0.00,250,1,250.0
127.0.0.53,127.0.0.1,53,46410,UDP,0.00,452,2,452.0
192.168.18.1,192.168.18.20,53,46226,UDP,0.00,202,1,202.0
127.0.0.1,127.0.0.53,47427,53,UDP,0.00,186,2,186.0
192.168.18.20,192.168.18.1,46142,53,UDP,0.00,93,1,93.0
192.168.18.20,192.168.18.1,54092,53,UDP,0.00,93,1,93.0
192.168.18.1,192.168.18.20,53,46142,UDP,0.00,125,1,125.0
127.0.0.53,127.0.0.1,53,47427,UDP,0.02,274,2,274.0
192.168.18.1,192.168.18.20,53,54092,UDP,0.00,149,1,149.0
127.0.0.1,127.0.0.53,32863,53,UDP,0.02,176,2,176.0
192.168.18.20,192.168.18.1,43758,53,UDP,0.00,88,1,88.0
192.168.18.1,192.168.18.20,53,43758,UDP,0.00,104,1,104.0
127.0.0.53,127.0.0.1,53,32863,UDP,0.01,220,2,220.0
192.168.18.20,192.168.18.1,41996,53,UDP,0.00,88,1,88.0
192.168.18.1,192.168.18.20,53,41996,UDP,0.00,116,1,116.0
127.0.0.1,127.0.0.53,33820,53,UDP,0.00,194,2,194.0
192.168.18.20,192.168.18.1,56139,53,UDP,0.00,97,1,97.0
192.168.18.20,192.168.18.1,45284,53,UDP,0.00,97,1,97.0
192.168.18.1,192.168.18.20,53,56139,UDP,0.00,141,1,141.0
127.0.0.53,127.0.0.1,53,33820,UDP,0.00,294,2,294.0
192.168.18.1,192.168.18.20,53,45284,UDP,0.00,153,1,153.0
127.0.0.1,127.0.0.53,43210,53,UDP,0.00,184,2,184.0
192.168.18.20,192.168.18.1,54682,53,UDP,0.00,92,1,92.0
192.168.18.20,192.168.18.1,60039,53,UDP,0.00,92,1,92.0
192.168.18.1,192.168.18.20,53,54682,UDP,0.00,108,1,108.0
127.0.0.53,127.0.0.1,53,43210,UDP,0.00,228,2,228.0
192.168.18.1,192.168.18.20,53,60039,UDP,0.00,120,1,120.0
127.0.0.1,127.0.0.53,39410,53,UDP,0.00,198,2,198.0
192.168.18.20,192.168.18.1,34101,53,UDP,0.00,99,1,99.0
192.168.18.20,192.168.18.1,50899,53,UDP,0.00,99,1,99.0
192.168.18.1,192.168.18.20,53,34101,UDP,0.00,115,1,115.0
127.0.0.53,127.0.0.1,53,39410,UDP,0.00,242,2,242.0
192.168.18.1,192.168.18.20,53,50899,UDP,0.00,127,1,127.0
127.0.0.1,127.0.0.53,59162,53,UDP,0.00,184,2,184.0
127.0.0.53,127.0.0.1,53,59162,UDP,0.00,228,2,228.0
127.0.0.1,127.0.0.53,37203,53,UDP,0.00,224,2,224.0
192.168.18.20,192.168.18.1,58755,53,UDP,0.00,112,1,112.0
192.168.18.20,192.168.18.1,59731,53,UDP,0.00,112,1,112.0
192.168.18.1,192.168.18.20,53,58755,UDP,0.00,128,1,128.0
192.168.18.1,192.168.18.20,53,59731,UDP,0.00,140,1,140.0
127.0.0.53,127.0.0.1,53,37203,UDP,0.00,268,2,268.0
192.168.18.187,224.0.0.251,5353,5353,UDP,4.00,474,3,118.52
127.0.0.1,127.0.0.53,45384,53,UDP,0.02,234,2,234.0
192.168.18.20,192.168.18.1,51056,53,UDP,0.00,117,1,117.0
192.168.18.1,192.168.18.20,53,51056,UDP,0.00,170,1,170.0
127.0.0.53,127.0.0.1,53,45384,UDP,0.01,368,2,368.0
192.168.18.20,192.168.18.1,51346,53,UDP,0.00,115,1,115.0
192.168.18.1,192.168.18.20,53,51346,UDP,0.00,143,1,143.0
127.0.0.1,127.0.0.53,35666,53,UDP,0.00,184,2,184.0
127.0.0.53,127.0.0.1,53,35666,UDP,0.00,732,2,732.0
127.0.0.1,127.0.0.53,51868,53,UDP,0.00,234,2,234.0
192.168.18.20,192.168.18.1,50905,53,UDP,0.00,117,1,117.0
192.168.18.20,192.168.18.1,39131,53,UDP,0.00,117,1,117.0
192.168.18.1,192.168.18.20,53,50905,UDP,0.00,170,1,170.0
127.0.0.53,127.0.0.1,53,51868,UDP,0.00,352,2,352.0
192.168.18.1,192.168.18.20,53,39131,UDP,0.00,182,1,182.0
